website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
1asa.com	2	3.77300%	2	3.77300%	48	90.56600%	1	1.88600%	
3ichnews.eb2a.com	96	5.08700%	103	5.45800%	1628	86.27400%	60	3.17900%	Tunisia 
3rs.net	0	0%	1	50.00000%	0	0%	1	50.00000%	-Bahrain
52blog.kuwait.tt	4	14.28500%	0	0%	23	82.14200%	1	3.57100%	-Kuwait
7bey.com	28	36.84200%	3	3.94700%	32	42.10500%	13	17.10500%	
abyat.com	18	16.98100%	13	12.26400%	68	64.15000%	7	6.60300%	-Saudi Arabia
acookweb.hawaaworld.com	24	17.26600%	11	7.91300%	90	64.74800%	14	10.07100%	-Saudi Arabia
aden-news.net	7508	70.84300%	693	6.53800%	1927	18.18200%	470	4.43400%	-Yemen
aden-online.net	2720	66.06700%	325	7.89400%	812	19.72300%	260	6.31500%	-Yemen
adenalghad.net	3292	62.46600%	401	7.60900%	1212	22.99800%	365	6.92500%	-Yemen
adsanee.8m.com	2	25.00000%	0	0%	6	75.00000%	0	0%	
aenhail.com	60	30.45600%	12	6.09100%	116	58.88300%	9	4.56800%	-Saudi Arabia
afifnews.com	0	0%	0	0%	1	50.00000%	1	50.00000%	-Saudi Arabia
aflamee.com	13	20.00000%	1	1.53800%	50	76.92300%	1	1.53800%	-Saudi Arabia
ajeeb.sakhr.com	3	3.84600%	0	0%	74	94.87100%	1	1.28200%	-Egypt
akhbaralyom.net	17805	72.13400%	1339	5.42400%	4104	16.62600%	1435	5.81300%	-Yemen
akhbarlive.com	731	3.41600%	10	.04600%	20464	95.64400%	191	.89200%	Egypt 
al-athraa.blogspot.com	20	22.47100%	5	5.61700%	49	55.05600%	15	16.85300%	
al-nafitha.com	0	0%	3	37.50000%	5	62.50000%	0	0%	-Canada
al-tagheer.com	38	49.35000%	10	12.98700%	19	24.67500%	10	12.98700%	Yemen 
aladhwaa.net	418	66.66600%	40	6.37900%	139	22.16900%	30	4.78400%	-Yemen
alanan.8m.com	1	16.66600%	1	16.66600%	4	66.66600%	0	0%	
alasmaa.hawaaworld.com	12	20.33800%	5	8.47400%	41	69.49100%	1	1.69400%	-Saudi Arabia
albaidasound.com	44	36.36300%	16	13.22300%	48	39.66900%	13	10.74300%	
albeet.hawaaworld.com	19	38.00000%	2	4.00000%	24	48.00000%	5	10.00000%	-Saudi Arabia
albrddoni.tripod.com	24	38.09500%	5	7.93600%	27	42.85700%	7	11.11100%	
aleqtisadnews.net	35	43.20900%	11	13.58000%	28	34.56700%	7	8.64100%	
alettejah.net	447	72.68200%	30	4.87800%	120	19.51200%	18	2.92600%	-Yemen
alhmad.8m.com	11	61.11100%	1	5.55500%	6	33.33300%	0	0%	
aljamaheir.net	241	42.65400%	32	5.66300%	243	43.00800%	49	8.67200%	Saudi Arabia 
aljareeda-sd.net	4610	63.33200%	533	7.32200%	1880	25.82700%	256	3.51600%	Sudan 
alkabarit.com	3	37.50000%	1	12.50000%	4	50.00000%	0	0%	-Egypt
allafrica.com	21	21.21200%	2	2.02000%	75	75.75700%	1	1.01000%	-US
alliraqis.bbgraf.com	32	22.06800%	12	8.27500%	89	61.37900%	12	8.27500%	
almaraa.net	36	40.90900%	4	4.54500%	43	48.86300%	5	5.68100%	
almasdar.us.to	51	48.57100%	11	10.47600%	38	36.19000%	5	4.76100%	
almoarekh.com	17	23.28700%	19	26.02700%	29	39.72600%	8	10.95800%	-Egypt
almorageb.net	30	33.70700%	14	15.73000%	39	43.82000%	6	6.74100%	-Yemen
almraya.net	5	4.54500%	0	0%	103	93.63600%	2	1.81800%	
almshaheer.com	94	45.19200%	35	16.82600%	52	25.00000%	27	12.98000%	Sudan 
alrroya.com	641	19.57200%	21	.64100%	2512	76.70200%	101	3.08300%	Oman 
alsadda.net	23	69.69600%	0	0%	6	18.18100%	4	12.12100%	-Sudan
altearaan.8k.com	5	62.50000%	0	0%	2	25.00000%	1	12.50000%	-?
alwahdawi.net	6269	69.30900%	825	9.12100%	1334	14.74800%	617	6.82100%	-Yemen
alwatan.kuwait.tt	122	1.40900%	22	.25400%	8423	97.30800%	89	1.02800%	Kuwait 
alwe7daclub.com	42	23.86300%	6	3.40900%	109	61.93100%	19	10.79500%	
alyemennews.net	36	45.56900%	7	8.86000%	33	41.77200%	3	3.79700%	-Yemen
alzain.homestead.com	0	0%	1	8.33300%	11	91.66600%	0	0%	-?
amlalommah.net	104537	69.67800%	23455	15.63300%	17459	11.63700%	4577	3.05000%	Palestine 
amranpress.net	47	49.47300%	11	11.57800%	28	29.47300%	9	9.47300%	-Yemen
amwagfm.com	7	17.50000%	11	27.50000%	18	45.00000%	4	10.00000%	
annabaa.org	784588	82.35300%	32884	3.45100%	107607	11.29400%	27630	2.90000%	Lebanon 
aonhm.jeeran.com	14	20.00000%	7	10.00000%	47	67.14200%	2	2.85700%	
ar.easy-forex.com	38	34.54500%	1	.90900%	63	57.27200%	8	7.27200%	
ar.rian.ru	35	38.88800%	9	10.00000%	32	35.55500%	14	15.55500%	
ara.reuters.com	5	9.09000%	0	0%	48	87.27200%	2	3.63600%	
arabfilm.com	2	7.69200%	0	0%	24	92.30700%	0	0%	
arabflowers.net	30	47.61900%	3	4.76100%	24	38.09500%	6	9.52300%	
arabic.alshahid.net	59	26.69600%	17	7.69200%	130	58.82300%	15	6.78700%	
